Topic 00		10200.58398597864     Discussions about watching the match
	wear	500.35298013130415
	blu	462.42384467654597
	green	381.8169548293486
	gear	247.30607146567903
	amp	166.74938236480367
	shirt	156.96677736390455
	col	124.51641913796891
	new	117.23816490087137
	bluefriday	88.76121287539814
	work	85.35035581483912
	littl	81.7044470564348
	prid	74.94164982142951
	lucky	73.333231981397
	show	71.95392913120675
	tomorrow	66.6799738840025
	rock	66.29695293716105
	spirit	64.25724473469307
	off	55.767928610021045
	head	54.70067583633693


Topic 13		8044.125106443489
	happy	575.2606774333088
	friday	467.6345217933126
	blu	430.422746317157
	field	276.8381935641063
	bluefriday	268.7755762663997
	tgibf	267.03300890173966
	stad	194.8295273886557
	nfcchampionship	134.43095886755316
	twelfy	133.62132513236617
	phoenix	121.02611960847383
	birthday	117.08907674302739
	sunday	106.76654133996055
	ral	105.60209178466583
	rain	102.28181122576093
	nat	86.34064034554537
	centurylink	84.68400448461
	sun	83.47528939093094
	wait	79.43643462629333
	imin	77.84337907043691
	goal	75.33476006138643


Topic 14		11518.890441813353
	half	690.3536275722846
	nee	472.9969847287224
	second	462.5318505140483
	fin	321.3346198449735
	scor	311.24940366674207
	start	307.7218306936966
	defens	289.96771745291534
	com	274.0769831724993
	point	270.64559086941546
	offens	185.8998724304904
	quart	180.31961624685917
	left	174.80983054382494
	right	156.7633687181381
	stop	151.012930449751
	touchdown	149.1369136553307
	big	147.99782023841183
	field	136.38777132284235
	bet	133.30054211571326
	driv	132.3537394489627
	turn	131.6727801069521


Topic 15		6485.155000940958
	que	387.94534633982636
	los	195.35537713890656
	par	124.05089066859662
	por	80.99263472240577
	est	78.60446808718217
	jogo	74.99888596192642
	espntemfinaisnfl	72.99200022032338
	ess	66.60142582218255
	goseahawk	61.506041865620475
	del	60.878586771317906
	patriot	60.46323475723568
	vamo	59.96312120403052
	partido	56.998968689190846
	mas	53.99881402054347
	pra	51.910156020747735
	ver	50.927256146154335
	mai	45.99546972788324
	todo	45.90842402439796
	seattleseahawk	45.03248929844416
	pero	42.525105199156265


Topic 16		10992.93892601423   | Talking about actions/verbs
	think	430.229231552582
	know	417.25897351986225
	want	403.1698952714041
	did	366.10589605024404
	rodg	251.76293278970317
	pack	238.4945875511686
	say	210.24489401636893
	hey	202.72999412182014
	doe	186.79326323365518
	aaron	184.90278924683722
	gon	170.01060194998803
	try	138.8999111092365
	bet	127.81329741461117
	nee	127.63058449366875
	shit	124.58123013859856
	fuck	120.89187791751468
	way	117.44001515394712
	fac	109.87919211121823
	throw	107.81080589788242
	bal	107.09935278836619


Topic 17		10780.283450516772
	watch	834.1391941287875
	tonight	433.3081371516213
	footbal	303.6255211905602
	fun	205.77126141282085
	prattprattprat	191.53988370398457
	boy	179.05199213806543
